seqnames	start	end	width	strand	protein_id	tx_id	exon_id	exon_rank	cds_ok	protein_start	protein_end
LRG_763	5146	5414	269	+	LRG_763p1	LRG_763t1	LRG_763t1e1	1	TRUE	1	3144
LRG_763	17265	17348	84	+	LRG_763p1	LRG_763t1	LRG_763t1e2	2	TRUE	1	3144
LRG_763	29600	29720	121	+	LRG_763p1	LRG_763t1	LRG_763t1e3	3	TRUE	1	3144
LRG_763	34150	34209	60	+	LRG_763p1	LRG_763t1	LRG_763t1e4	4	TRUE	1	3144
LRG_763	35683	35762	80	+	LRG_763p1	LRG_763t1	LRG_763t1e5	5	TRUE	1	3144
LRG_763	37611	37749	139	+	LRG_763p1	LRG_763t1	LRG_763t1e6	6	TRUE	1	3144
LRG_763	45630	45771	142	+	LRG_763p1	LRG_763t1	LRG_763t1e7	7	TRUE	1	3144
LRG_763	46411	46589	179	+	LRG_763p1	LRG_763t1	LRG_763t1e8	8	TRUE	1	3144
LRG_763	51554	51758	205	+	LRG_763p1	LRG_763t1	LRG_763t1e9	9	TRUE	1	3144
LRG_763	53215	53262	48	+	LRG_763p1	LRG_763t1	LRG_763t1e10	10	TRUE	1	3144
LRG_763	55875	55955	81	+	LRG_763p1	LRG_763t1	LRG_763t1e11	11	TRUE	1	3144
LRG_763	57590	57930	341	+	LRG_763p1	LRG_763t1	LRG_763t1e12	12	TRUE	1	3144
LRG_763	60250	60373	124	+	LRG_763p1	LRG_763t1	LRG_763t1e13	13	TRUE	1	3144
LRG_763	60631	60749	119	+	LRG_763p1	LRG_763t1	LRG_763t1e14	14	TRUE	1	3144
LRG_763	61612	61723	112	+	LRG_763p1	LRG_763t1	LRG_763t1e15	15	TRUE	1	3144
LRG_763	61964	62101	138	+	LRG_763p1	LRG_763t1	LRG_763t1e16	16	TRUE	1	3144
LRG_763	62888	63046	159	+	LRG_763p1	LRG_763t1	LRG_763t1e17	17	TRUE	1	3144
LRG_763	63140	63237	98	+	LRG_763p1	LRG_763t1	LRG_763t1e18	18	TRUE	1	3144
LRG_763	64727	64866	140	+	LRG_763p1	LRG_763t1	LRG_763t1e19	19	TRUE	1	3144
LRG_763	66230	66293	64	+	LRG_763p1	LRG_763t1	LRG_763t1e20	20	TRUE	1	3144
LRG_763	66552	66652	101	+	LRG_763p1	LRG_763t1	LRG_763t1e21	21	TRUE	1	3144
LRG_763	70836	70982	147	+	LRG_763p1	LRG_763t1	LRG_763t1e22	22	TRUE	1	3144
LRG_763	73092	73212	121	+	LRG_763p1	LRG_763t1	LRG_763t1e23	23	TRUE	1	3144
LRG_763	75478	75554	77	+	LRG_763p1	LRG_763t1	LRG_763t1e24	24	TRUE	1	3144
LRG_763	77123	77274	152	+	LRG_763p1	LRG_763t1	LRG_763t1e25	25	TRUE	1	3144
LRG_763	78331	78533	203	+	LRG_763p1	LRG_763t1	LRG_763t1e26	26	TRUE	1	3144
LRG_763	84619	84745	127	+	LRG_763p1	LRG_763t1	LRG_763t1e27	27	TRUE	1	3144
LRG_763	87398	87525	128	+	LRG_763p1	LRG_763t1	LRG_763t1e28	28	TRUE	1	3144
LRG_763	90608	90718	111	+	LRG_763p1	LRG_763t1	LRG_763t1e29	29	TRUE	1	3144
LRG_763	102646	102723	78	+	LRG_763p1	LRG_763t1	LRG_763t1e30	30	TRUE	1	3144
LRG_763	103234	103457	224	+	LRG_763p1	LRG_763t1	LRG_763t1e31	31	TRUE	1	3144
LRG_763	105047	105125	79	+	LRG_763p1	LRG_763t1	LRG_763t1e32	32	TRUE	1	3144
LRG_763	105272	105433	162	+	LRG_763p1	LRG_763t1	LRG_763t1e33	33	TRUE	1	3144
LRG_763	107658	107713	56	+	LRG_763p1	LRG_763t1	LRG_763t1e34	34	TRUE	1	3144
LRG_763	108624	108772	149	+	LRG_763p1	LRG_763t1	LRG_763t1e35	35	TRUE	1	3144
LRG_763	110841	110977	137	+	LRG_763p1	LRG_763t1	LRG_763t1e36	36	TRUE	1	3144
LRG_763	112680	112796	117	+	LRG_763p1	LRG_763t1	LRG_763t1e37	37	TRUE	1	3144
LRG_763	116923	117045	123	+	LRG_763p1	LRG_763t1	LRG_763t1e38	38	TRUE	1	3144
LRG_763	117977	118212	236	+	LRG_763p1	LRG_763t1	LRG_763t1e39	39	TRUE	1	3144
